location,date,total_cases,total_deaths,percent_infected,percent_death_cases
Netherlands,2/27/2020,1,NULL,5.69E-06,NULL
Netherlands,2/28/2020,6,NULL,3.42E-05,NULL
Netherlands,2/29/2020,10,NULL,5.69E-05,NULL
Netherlands,3/1/2020,18,NULL,0.000102482,NULL
Netherlands,3/2/2020,24,NULL,0.000136643,NULL
Netherlands,3/3/2020,38,NULL,0.000216351,NULL
Netherlands,3/4/2020,82,NULL,0.000466864,NULL
Netherlands,3/5/2020,128,NULL,0.000728763,NULL
Netherlands,3/6/2020,188,1,0.00107037,0.531914894
Netherlands,3/7/2020,265,1,0.001508766,0.377358491
Netherlands,3/8/2020,321,3,0.0018276,0.934579439
Netherlands,3/9/2020,382,3,0.002174901,0.785340314
Netherlands,3/10/2020,503,4,0.002863809,0.795228628
Netherlands,3/11/2020,603,5,0.003433155,0.829187396
Netherlands,3/12/2020,804,5,0.00457754,0.621890547
Netherlands,3/13/2020,959,10,0.005460026,1.042752868
Netherlands,3/14/2020,1135,12,0.006462074,1.057268722
Netherlands,3/15/2020,1413,20,0.008044855,1.415428167
Netherlands,3/16/2020,1705,24,0.009707345,1.407624633
Netherlands,3/17/2020,2051,43,0.011677281,2.096538274
Netherlands,3/18/2020,2460,58,0.014005905,2.357723577
Netherlands,3/19/2020,2994,76,0.017046212,2.538410154
Netherlands,3/20/2020,3632,106,0.020678637,2.918502203
Netherlands,3/21/2020,4205,136,0.023940988,3.234244946
Netherlands,3/22/2020,4750,179,0.027043923,3.768421053
Netherlands,3/23/2020,5562,213,0.03166701,3.829557713
Netherlands,3/24/2020,6414,276,0.036517836,4.303086997
Netherlands,3/25/2020,7434,356,0.042325162,4.788808179
Netherlands,3/26/2020,8606,434,0.048997895,5.042993261
Netherlands,3/27/2020,9765,546,0.055596612,5.591397849
Netherlands,3/28/2020,10869,639,0.061882189,5.879105713
Netherlands,3/29/2020,11756,771,0.066932285,6.558353181
Netherlands,3/30/2020,12601,864,0.071743257,6.856598683
Netherlands,3/31/2020,13620,1039,0.07754489,7.628487518
Netherlands,4/1/2020,14713,1174,0.083767839,7.979338
Netherlands,4/2/2020,15741,1340,0.089620713,8.512800966
Netherlands,4/3/2020,16650,1489,0.094796066,8.942942943
Netherlands,4/4/2020,17874,1655,0.101764858,9.259259259
Netherlands,4/5/2020,18828,1770,0.107196416,9.400892288
Netherlands,4/6/2020,19617,1873,0.111688554,9.547841158
Netherlands,4/7/2020,20589,2107,0.117222595,10.23361989
Netherlands,4/8/2020,21802,2254,0.124128759,10.33850105
Netherlands,4/9/2020,23140,2402,0.131746605,10.38029386
Netherlands,4/10/2020,24463,2519,0.139279049,10.2971835
Netherlands,4/11/2020,25637,2652,0.145963168,10.34442407
Netherlands,4/12/2020,26601,2746,0.151451661,10.32292019
Netherlands,4/13/2020,27469,2832,0.156393582,10.30980378
Netherlands,4/14/2020,28205,2954,0.160583967,10.47332033
Netherlands,4/15/2020,29267,3143,0.166630418,10.73905764
Netherlands,4/16/2020,30506,3324,0.173684612,10.89621714
Netherlands,4/17/2020,31646,3468,0.180175154,10.95873096
Netherlands,4/18/2020,32719,3610,0.186284233,11.03334454
Netherlands,4/19/2020,33472,3694,0.190571407,11.03608987
Netherlands,4/20/2020,34201,3761,0.194721937,10.99675448
Netherlands,4/21/2020,34909,3926,0.198752905,11.24638345
Netherlands,4/22/2020,35800,4065,0.203825776,11.3547486
Netherlands,4/23/2020,36608,4189,0.208426089,11.44285402
Netherlands,4/24/2020,37263,4301,0.212155304,11.54228055
Netherlands,4/25/2020,37918,4421,0.215884518,11.65937022
Netherlands,4/26/2020,38319,4488,0.218167595,11.71220543
Netherlands,4/27/2020,38490,4531,0.219141176,11.7718888
Netherlands,4/28/2020,38877,4579,0.221344544,11.77817218
Netherlands,4/29/2020,39391,4724,0.224270981,11.99258714
Netherlands,4/30/2020,39866,4808,0.226975374,12.06040235
Netherlands,5/1/2020,40312,4906,0.229514656,12.17007343
Netherlands,5/2/2020,40647,5000,0.231421964,12.30103083
Netherlands,5/3/2020,40846,5069,0.232554962,12.41002791
Netherlands,5/4/2020,41163,5095,0.234359788,12.37762068
Netherlands,5/5/2020,41395,5182,0.23568067,12.5184201
Netherlands,5/6/2020,41850,5218,0.238271193,12.46833931
Netherlands,5/7/2020,42169,5302,0.240087406,12.57321729
Netherlands,5/8/2020,42458,5373,0.241732815,12.65485892
Netherlands,5/9/2020,42703,5437,0.243127712,12.73212655
Netherlands,5/10/2020,42864,5455,0.244044359,12.72629713
Netherlands,5/11/2020,43060,5471,0.245160277,12.70552717
Netherlands,5/12/2020,43287,5525,0.246452691,12.76364728
Netherlands,5/13/2020,43557,5577,0.247989925,12.80391212
Netherlands,5/14/2020,43757,5605,0.249128616,12.80937907
Netherlands,5/15/2020,43946,5658,0.25020468,12.87489191
Netherlands,5/16/2020,44072,5685,0.250922055,12.89934652
Netherlands,5/17/2020,44218,5695,0.2517533,12.87937039
Netherlands,5/18/2020,44326,5709,0.252368194,12.87957406
Netherlands,5/19/2020,44524,5730,0.253495498,12.86946366
Netherlands,5/20/2020,44777,5763,0.254935943,12.87044688
Netherlands,5/21/2020,44965,5790,0.256006313,12.87668186
Netherlands,5/22/2020,45141,5803,0.257008361,12.85527569
Netherlands,5/23/2020,45313,5826,0.257987636,12.85723744
Netherlands,5/24/2020,45522,5837,0.259177569,12.8223716
Netherlands,5/25/2020,45655,5845,0.259934799,12.8025408
Netherlands,5/26/2020,45845,5871,0.261016555,12.80619479
Netherlands,5/27/2020,46027,5886,0.262052765,12.78814609
Netherlands,5/28/2020,46203,5918,0.263054813,12.80869208
Netherlands,5/29/2020,46334,5946,0.263800656,12.83290888
Netherlands,5/30/2020,46519,5966,0.264853946,12.82486726
Netherlands,5/31/2020,46622,5971,0.265440372,12.80725838
Netherlands,6/1/2020,46724,5977,0.266021105,12.79214108
Netherlands,6/2/2020,46810,5982,0.266510742,12.77932066
Netherlands,6/3/2020,47019,5992,0.267700674,12.74378443
Netherlands,6/4/2020,47229,6005,0.268896301,12.71464566
Netherlands,6/5/2020,47412,6020,0.269938203,12.69720746
Netherlands,6/6/2020,47651,6026,0.27129894,12.64611446
Netherlands,6/7/2020,47816,6028,0.27223836,12.60665886
Netherlands,6/8/2020,47980,6031,0.273172087,12.56982076
Netherlands,6/9/2020,48164,6046,0.274219683,12.55294411
Netherlands,6/10/2020,48328,6057,0.27515341,12.5331071
Netherlands,6/11/2020,48538,6059,0.276349036,12.48300301
Netherlands,6/12/2020,48717,6068,0.277368165,12.45561098
Netherlands,6/13/2020,48860,6072,0.27818233,12.42734343
Netherlands,6/14/2020,49025,6074,0.27912175,12.38959714
Netherlands,6/15/2020,49164,6080,0.279913141,12.36677244
Netherlands,6/16/2020,49281,6085,0.280579275,12.34755788
Netherlands,6/17/2020,49396,6089,0.281234023,12.32690906
Netherlands,6/18/2020,49503,6093,0.281843223,12.30834495
Netherlands,6/19/2020,49579,6096,0.282275925,12.29552835
Netherlands,6/20/2020,49670,6104,0.28279403,12.28910811
Netherlands,6/21/2020,49735,6105,0.283164105,12.27505781
Netherlands,6/22/2020,49799,6105,0.283528486,12.25928231
Netherlands,6/23/2020,49881,6110,0.28399535,12.24915298
Netherlands,6/24/2020,49991,6112,0.28462163,12.22620072
Netherlands,6/25/2020,50082,6115,0.285139735,12.20997564
Netherlands,6/26/2020,50151,6118,0.285532583,12.19915854
Netherlands,6/27/2020,50224,6120,0.285948205,12.18540937
Netherlands,6/28/2020,50300,6120,0.286380908,12.16699801
Netherlands,6/29/2020,50350,6122,0.286665581,12.15888779
Netherlands,6/30/2020,50412,6128,0.287018575,12.15583591
Netherlands,7/1/2020,50489,6130,0.287456972,12.14125849
Netherlands,7/2/2020,50564,6133,0.287883981,12.12918282
